Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1593996285.366247,25988,1574795807,251754999,navsat_link,2,1,40.663537015,-74.56454322,44.26,0.007744000000000002,0.0,0.0,0.0,0.011320960000000001,0.0,0.0,0.0,163.84000000000003,1
1593996285.5774584,25989,1574795807,462842941,navsat_link,2,1,40.663536115,-74.56454282666667,44.214999999999996,0.00788544,0.0,0.0,0.0,0.011837440000000001,0.0,0.0,0.0,163.84000000000003,1
1593996285.7549863,25990,1574795807,640527009,navsat_link,2,1,40.663534845,-74.56454313333333,44.10099999999999,0.00788544,0.0,0.0,0.0,0.011491840000000003,0.0,0.0,0.0,163.84000000000003,1
1593996285.9797912,25991,1574795807,864800930,navsat_link,2,1,40.663533173333335,-74.56454287333334,44.105,0.007744000000000002,0.0,0.0,0.0,0.011320960000000001,0.0,0.0,0.0,163.84000000000003,1
1593996286.1597335,25992,1574795808,45022010,navsat_link,2,1,40.663531903333336,-74.56454259833333,44.064,0.007744000000000002,0.0,0.0,0.0,0.011151360000000003,0.0,0.0,0.0,163.84000000000003,1
1593996286.3572705,25993,1574795808,242470026,navsat_link,2,1,40.66353014333333,-74.56454224833334,44.037,0.007744000000000002,0.0,0.0,0.0,0.011151360000000003,0.0,0.0,0.0,163.84000000000003,1
1593996286.5590856,25994,1574795808,444366931,navsat_link,2,1,40.66352799166667,-74.564541755,44.109,0.007744000000000002,0.0,0.0,0.0,0.011151360000000003,0.0,0.0,0.0,163.84000000000003,1
1593996286.7577043,25995,1574795808,642312049,navsat_link,2,1,40.663525285,-74.564542005,44.10999999999999,0.009623610000000001,0.0,0.0,0.0,0.013900410000000002,0.0,0.0,0.0,207.36,1
1593996286.9582827,25996,1574795808,843493938,navsat_link,2,1,40.66352319666667,-74.564541925,44.086999999999996,0.009623610000000001,0.0,0.0,0.0,0.013900410000000002,0.0,0.0,0.0,207.36,1
1593996287.1608677,25997,1574795809,45190095,navsat_link,2,1,40.66352093333333,-74.56454225333333,44.052,0.009623610000000001,0.0,0.0,0.0,0.013900410000000002,0.0,0.0,0.0,207.36,1
1593996287.3530846,25998,1574795809,238404035,navsat_link,2,1,40.663519765,-74.56454228833333,44.050999999999995,0.009623610000000001,0.0,0.0,0.0,0.013900410000000002,0.0,0.0,0.0,207.36,1
1593996287.5605087,25999,1574795809,444935083,navsat_link,2,1,40.66351898833334,-74.564542345,44.091,0.00760384,0.0,0.0,0.0,0.010816000000000003,0.0,0.0,0.0,163.84000000000003,1
1593996287.7536647,26000,1574795809,639013051,navsat_link,2,1,40.663518525,-74.56454194666667,44.105,0.00760384,0.0,0.0,0.0,0.010816000000000003,0.0,0.0,0.0,163.84000000000003,1
1593996287.9929605,26001,1574795809,878427028,navsat_link,2,1,40.66351727833333,-74.56454132333333,44.138,0.00760384,0.0,0.0,0.0,0.010816000000000003,0.0,0.0,0.0,163.84000000000003,1
1593996288.1710222,26002,1574795810,56518077,navsat_link,2,1,40.66351611166667,-74.56454030833333,44.141,0.0074649600000000005,0.0,0.0,0.0,0.010816000000000003,0.0,0.0,0.0,163.84000000000003,1
1593996288.3712547,26003,1574795810,256452083,navsat_link,2,1,40.66351488666667,-74.56453917666667,44.11299999999999,0.0074649600000000005,0.0,0.0,0.0,0.010650240000000004,0.0,0.0,0.0,163.84000000000003,1
1593996288.5654786,26004,1574795810,450813055,navsat_link,2,1,40.663513475,-74.56453757833333,44.115,0.0074649600000000005,0.0,0.0,0.0,0.010650240000000004,0.0,0.0,0.0,163.84000000000003,1
1593996288.7690585,26005,1574795810,653517007,navsat_link,2,1,40.66351242,-74.564536535,44.056000000000004,0.0074649600000000005,0.0,0.0,0.0,0.010816000000000003,0.0,0.0,0.0,163.84000000000003,1
1593996288.9810393,26006,1574795810,866206884,navsat_link,2,1,40.66351109166666,-74.56453521166667,44.068999999999996,0.0074649600000000005,0.0,0.0,0.0,0.010816000000000003,0.0,0.0,0.0,163.84000000000003,1
1593996289.1748896,26007,1574795811,59721946,navsat_link,2,1,40.663510366666664,-74.564534865,44.062999999999995,0.0074649600000000005,0.0,0.0,0.0,0.010650240000000004,0.0,0.0,0.0,163.84000000000003,1
1593996289.3704112,26008,1574795811,255599975,navsat_link,2,1,40.663509043333335,-74.56453281333333,44.083000000000006,0.0074649600000000005,0.0,0.0,0.0,0.010650240000000004,0.0,0.0,0.0,163.84000000000003,1
1593996289.5651085,26009,1574795811,450226068,navsat_link,2,1,40.66350751,-74.56453092,44.109,0.0074649600000000005,0.0,0.0,0.0,0.010650240000000004,0.0,0.0,0.0,163.84000000000003,1
1593996289.7629344,26010,1574795811,648464918,navsat_link,2,1,40.663505926666666,-74.56452804333334,44.142999999999994,0.00927369,0.0,0.0,0.0,0.013479210000000002,0.0,0.0,0.0,207.36,1
1593996289.9773088,26011,1574795811,862606048,navsat_link,2,1,40.66350478166667,-74.56452627,44.127,0.00927369,0.0,0.0,0.0,0.013479210000000002,0.0,0.0,0.0,207.36,1
1593996290.1818957,26012,1574795812,66989898,navsat_link,2,1,40.66350400166667,-74.564524845,44.092999999999996,0.00927369,0.0,0.0,0.0,0.013271040000000003,0.0,0.0,0.0,207.36,1
