Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1678822351.914693,11717,1678822351,913856658,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.005992112452678286,-0.01384843766841204,0.0011984224905356572,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.36391865234375,-0.19871873779296872,10.273519323730468,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.925481,11718,1678822351,923856629,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.013715279613908078,0.0073236929977179045,0.0022636869265673524,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.3016694091796875,-0.009576806640625,9.86411083984375,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9349644,11719,1678822351,933857110,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.01251685712337242,0.002663161090079238,0.001731054708551505,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.23223756103515625,-0.4070142822265625,9.816226806640625,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9458575,11720,1678822351,943857014,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0010652644360316951,-0.010120012142301104,0.005858954398174323,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.16759411621093748,-0.5913678100585937,9.911994873046874,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9552374,11721,1678822351,953876940,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.021038972611625982,-0.013049489341388266,0.009853696033293181,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.06703764648437499,-0.19393033447265623,9.756371765136718,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9645178,11722,1678822351,963877242,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0055926382891664,-0.010519486305812991,0.00905474770626941,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.13407529296874998,-0.04548983154296875,10.050858569335936,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9755373,11723,1678822351,973877087,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.020639498448114094,-0.0066579027251980945,0.0049268480166465905,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.2346317626953125,-0.19153613281249998,9.698910925292969,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9848971,11724,1678822351,983896642,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.009587379924285258,0.0005326322180158476,0.00346210941710301,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.08858546142578125,-0.44053310546874996,10.13226142578125,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822351.9958045,11725,1678822351,993896621,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0006657902725198095,-0.012250541014364496,-0.0003994741635118857,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.076614453125,-0.7062894897460937,10.050858569335936,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1678822352.0051985,11726,1678822352,3897412,aquila2/os_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.013182647395892227,-0.0015978966540475428,0.0002663161090079238,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.1292868896484375,-0.3447650390625,9.682151513671874,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
